Symbols;XGBoostImp
CYSLTR1;0.6469302
PRXL2B;0.37230057
LIPA;0.29571128
ACOT7;0.28628036
LTB4R;0.2839458
PTGS2;0.27318898
PTGR2;0.20106095
PNPLA8;0.19114724
LPCAT3;0.18737957
CYP2D6;0.16012292
CYP4F22;0.15161061
PTGER4;0.14763214
MGLL;0.14248641
DPEP2;0.14243473
CYP4F8;0.13536943
PTGDS;0.13475116
ABCC1;0.12990415
LPCAT1;0.12575482
PTGDR;0.12518978
PLA2G4C;0.12056191
PLB1;0.11539366
AKR1B1;0.11085324
ACOT13;0.10919912
ACOT8;0.10469889
MBOAT7;0.10335752
ALOX5AP;0.10166183
LPCAT2;0.10050829
ACSL5;0.09825651
AGPAT4;0.09530082
MGST3;0.09271786
TBXA2R;0.091408424
ABCC2;0.08715919
OXER1;0.08660601
PNPLA2;0.08342935
ABCC10;0.08239891
ABCC3;0.0799169
DAGLA;0.07876268
ACSL1;0.078381024
MGST2;0.07680768
ABCC11;0.07261949
GPX7;0.0725552
ALOX12;0.07032829
ACAD9;0.069652155
LTC4S;0.069457576
SOAT1;0.06890278
ACOT11;0.06376233
PTGR1;0.063295506
PTGFR;0.061188385
PTGER2;0.058162354
PLAAT3;0.057733543
FADS2;0.055231757
PTGS1;0.054881293
CBR3;0.05455809
LTB4R2;0.05351582
ACSL3;0.052667536
ACOX1;0.05078784
PTGES2;0.050635595
CYP2U1;0.04712932
TBXAS1;0.0457701
FADS1;0.045764964
DPEP3;0.04534185
AGPAT5;0.045335982
ALOX5;0.044333756
GPX4;0.044237006
EPHX2;0.043650027
CYSLTR2;0.043332048
AKR1A1;0.043037895
ABCC4;0.04161369
DAGLB;0.041526698
PLA2G12A;0.040950906
GGT7;0.04069089
GGT1;0.03976718
GPX3;0.039507348
PTGES;0.038808372
PLA2G6;0.03663019
LTA4H;0.03491447
PLA2G4A;0.034496285
ACOT2;0.03362345
CYP1B1;0.03213208
ABCC6;0.031074114
PTGES3;0.030075707
RNPEPL1;0.029988542
AKR1C1;0.029877134
CBR1;0.029729806
ACOT1;0.029556043
ACSL4;0.02876964
MAPKAPK2;0.027889974
AKR1C3;0.027840324
ACAT1;0.026988195
LIPE;0.026960941
PLA2G4B;0.02635408
AOPEP;0.025757734
GGT5;0.025652526
RNPEP;0.025446996
AGPAT2;0.02534909
LCAT;0.024142515
HPGD;0.02361018
ELOVL5;0.022379061
PAFAH2;0.022332026
ACSL6;0.02007261
PTGIR;0.019001689
CYP4F3;0.017901683
ALOX15B;0.017238779
