Symbols;RFImp
CYSLTR1;0.03450311073608056
PRXL2B;0.014891630042913058
PTGS2;0.012583159939768227
ACOT7;0.011122942576228341
LTB4R;0.010436862877221226
PNPLA8;0.009938145505252174
PTGER4;0.008987484723058622
LIPA;0.008791174244059001
PTGER2;0.006166911868805471
LPCAT2;0.005550235529366626
PTGDS;0.005499195149900141
LPCAT1;0.005490265260576058
LPCAT3;0.005091099693166838
DPEP2;0.004957826465340962
AKR1B1;0.004925316260075855
MGLL;0.00489319711649813
ABCC1;0.004496753754035435
ALOX5AP;0.004120835216957366
CYSLTR2;0.0037030286334874415
CYP4F22;0.003529266162024054
SOAT1;0.0035009692179989098
ACAD9;0.003358248523632623
MBOAT7;0.0033284276976148454
PLB1;0.003280951751985509
GGT7;0.0031824503630313267
PTGES2;0.0031233555546557293
PTGR2;0.003109620411351397
DAGLA;0.0030872643074702074
ACSL1;0.0029727112143260134
MGST3;0.0027676088872135907
PNPLA2;0.0026911951048003554
ABCC11;0.0026900226961388946
ABCC10;0.0026527245198222573
DPEP3;0.002652250979671118
PTGES;0.00259024624665314
PLA2G4C;0.0025650656327225623
PTGR1;0.002530857583730606
ACOT8;0.002520681403670234
PTGDR;0.0024680868408915755
AGPAT2;0.00230486350660608
AGPAT4;0.002273688079686033
DAGLB;0.0022191420979281473
ACOT13;0.002206597200068655
PTGES3;0.0021103872366052168
RNPEPL1;0.0020462174617904855
ABCC2;0.002031960371643647
CBR1;0.002000337453027588
AKR1C1;0.0019446371024736857
CYP2D6;0.001870265965819691
PTGFR;0.0018428982896750016
GPX3;0.001839319511543694
CYP4F8;0.0018165335749874237
PLA2G4B;0.0017591937180710256
GPX7;0.0017526899516648535
ABCC6;0.001710812608818839
AGPAT5;0.0016948555079614512
TBXA2R;0.0016622550023887937
ABCC3;0.0016332763040339067
TBXAS1;0.0015031332762559528
PTGS1;0.0014953297569516633
ACAT1;0.001475469067942426
ACOT2;0.0014572508258773045
LTC4S;0.001420412196282485
FADS1;0.0013895369294953676
OXER1;0.001354068165839089
GPX4;0.001343651155270259
ACOT1;0.0013396931838288715
HPGD;0.0012972180886712834
ALOX12;0.0012943076371758908
RNPEP;0.001281289232827583
CBR3;0.0011944896951624454
ELOVL5;0.0011887604386584783
PLA2G12A;0.0011528329623968108
ALOX5;0.0011319890333284588
PLA2G4A;0.0010909504563813134
PLAAT3;0.0010899332348982195
LTB4R2;0.0010592624708484742
ACSL5;0.0010253724480128676
EPHX2;0.0010166963435835
GGT5;0.0009520276352285506
ABCC4;0.0009499980212091416
ACSL3;0.0009335718555539722
ACOX1;0.0009277699555365173
GGT1;0.0009188678107554667
AKR1A1;0.0009081188600009039
CYP1B1;0.0008338103360385974
FADS2;0.0008335132865024455
LTA4H;0.0008008215669333215
AOPEP;0.000796535685126739
ACSL6;0.0007567900158636613
AKR1C3;0.0007513945687464665
PTGIR;0.0007464480252137409
ACSL4;0.0007356740933805721
PLA2G6;0.0007299610509282051
ACOT11;0.0007294431581959732
PAFAH2;0.0007219321829836932
LIPE;0.0007100949710659634
MGST2;0.0006766251445881881
LCAT;0.0006316395904658443
CYP2U1;0.0006189652646200971
MAPKAPK2;0.0005293453632277218
ALOX15B;0.00047826060406560417
CYP4F3;0.0004475525767443587
